INDEX,NAME,LATITUDE,LONGITUDE,TYPE,broccoli,tomato,peppers,eggs,bananas,milk,almond_milk,cauliflower,oats,chicken,TOTAL,ITEMS
0,Green House ,40.775329,-73.911469,Produce,2.9,0.99,1.29,1.39,0.79,1.99,4.89,2,0,0,16.24,8
1,Informal Food Cart,40.775945,-73.911245,Produce,2,2,0,0,0.75,0,0,2,0,0,6.75,4
2,Elliniki Agora,40.766749,-73.9195236,Produce,2.49,1.99,1.49,0,0.79,0,0,1.99,0,0,8.75,5
3,United Brothers ,40.76613,-73.919927,Produce,4.99,2.49,2.49,1.99,0.79,2.75,5.99,3.99,0,0,25.48,8
4,Trade Fair 30th  Ave,40.76704,-73.912269,supermarket,2.99,1.99,3.99,1.29,0.69,2.49,3.99,3.99,7.39,1.99,30.8,10
5,Key Food 30th Ave,40.767536,-73.920996,supermarket,3.5,1.99,2.99,1.79,0.49,2.69,4.79,3.99,5.99,1.99,30.21,10
7,MidCityFarms,40.773789,-73.91147,supermarket,2.59,1.99,3.99,1.99,0.79,3.99,3.99,4.99,8,9.99,42.31,10
8,Ctown Fresh Ditmarts,40.771775,-73.914986,supermarket,1.99,1.99,2.99,1.89,0.79,3.99,2.99,2.99,4.99,2.79,27.4,10
9,Ctown 34th Ave,40.758128,-73.924343,supermarket,2.49,1.99,3.99,1.99,0.69,2.59,4.49,4.99,4.99,3.99,32.2,10
,,,,,1.99,0.99,1.29,1.29,0.49,1.99,2.99,1.99,4.99,1.99,,
,Price Max,,,,4.99,2.49,3.99,1.99,0.79,3.99,5.99,4.99,8,9.99,,
,Mean,,,,2.88,1.94,2.9,1.76,0.73,2.93,4.45,3.44,6.27,2.79,,
